x,pressure,T,CH4,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,H2,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,C3H7,C3H8,CH2CHO,CH3CHO,N2,AR
0,101325,298.1499999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.09E-05,101325,975.6358594,8.12E-11,7.16E-06,9.92E-04,0.929408107,0.001509155,0.019823915,1.99E-05,7.97E-06,1.73E-13,1.59E-13,1.32E-12,1.12E-13,2.35E-11,1.83E-05,0.002022776,0.046190221,9.46E-10,9.59E-12,3.53E-14,5.93E-15,7.03E-13,1.37E-12,1.04E-09,1.90E-13,3.05E-11,1.22E-13,1.36E-13,3.90E-13,5.85E-12,1.02E-12,2.42E-13,2.81E-14,1.43E-13,7.07E-14,1.03E-17,6.25E-08,3.29E-09,1.82E-13,5.76E-13,2.40E-17,1.83E-11,2.76E-17,1.54E-24,4.64E-16,6.51E-13,2.97E-10,1.59E-11,4.82E-17,4.71E-14,4.35E-14,1.42E-14,2.92E-09,0
1.23E-04,101325,1426.82089,1.68E-10,1.73E-05,0.002374434,0.871503725,0.003620169,0.035320797,2.35E-05,4.52E-06,4.18E-13,3.85E-13,3.19E-12,2.72E-13,5.64E-11,3.44E-05,0.003749337,0.083351656,2.29E-09,1.58E-11,8.56E-14,6.64E-15,4.43E-13,3.32E-12,2.44E-09,4.61E-13,7.10E-11,2.94E-13,3.22E-13,9.10E-13,7.52E-12,1.50E-12,5.87E-13,4.40E-14,2.56E-13,1.35E-13,2.51E-17,1.11E-07,2.26E-09,1.71E-13,8.62E-13,5.81E-17,2.73E-11,3.06E-17,3.74E-24,6.90E-16,1.35E-12,3.49E-10,1.23E-11,9.35E-17,1.12E-13,8.75E-14,7.85E-15,5.29E-09,0
2.05E-04,101325,1754.254132,2.99E-10,3.13E-05,0.004067187,0.822308331,0.006318974,0.047705098,2.58E-05,2.91E-06,7.71E-13,7.10E-13,5.89E-12,5.00E-13,1.03E-10,5.84E-05,0.005697759,0.113784119,4.22E-09,2.29E-11,1.58E-13,6.99E-15,3.03E-13,6.12E-12,4.47E-09,8.37E-13,1.22E-10,2.62E-13,5.91E-13,1.66E-12,9.86E-12,2.27E-12,1.08E-12,7.29E-14,1.61E-13,8.35E-14,4.62E-17,1.41E-07,1.56E-09,1.24E-13,1.40E-12,1.07E-16,1.61E-11,1.87E-17,6.89E-24,7.77E-16,8.69E-13,2.07E-10,7.25E-12,1.64E-16,2.04E-13,5.20E-14,5.25E-15,7.13E-09,1.11E-16
2.86E-04,101325,2010.723708,4.95E-10,5.04E-05,0.006073992,0.777530502,0.009545617,0.05836651,3.07E-05,2.12E-06,1.29E-12,1.19E-12,9.85E-12,8.37E-13,1.71E-10,9.17E-05,0.008430221,0.139878021,7.06E-09,3.53E-11,2.64E-13,9.10E-15,2.55E-13,1.02E-11,7.47E-09,1.39E-12,2.00E-10,3.00E-13,9.88E-13,2.77E-12,1.45E-11,3.55E-12,1.81E-12,1.17E-13,1.17E-13,5.81E-14,7.65E-17,1.70E-07,1.17E-09,9.57E-14,1.99E-12,1.78E-16,1.01E-11,1.26E-17,1.15E-23,7.17E-16,6.56E-13,1.31E-10,4.55E-12,2.71E-16,3.41E-13,3.31E-14,4.23E-15,8.76E-09,0
3.68E-04,101325,2215.426108,7.83E-10,7.63E-05,0.008445742,0.735627471,0.013227577,0.067816808,3.87E-05,1.76E-06,2.05E-12,1.88E-12,1.56E-11,1.33E-12,2.70E-10,1.36E-04,0.012203748,0.162425365,1.12E-08,5.43E-11,4.19E-13,1.30E-14,2.63E-13,1.62E-11,1.18E-08,2.21E-12,3.15E-10,3.98E-13,1.57E-12,4.38E-12,2.19E-11,5.49E-12,2.85E-12,1.82E-13,9.94E-14,4.64E-14,1.19E-16,1.97E-07,9.42E-10,8.14E-14,2.74E-12,2.83E-16,6.64E-12,9.61E-18,1.83E-23,5.81E-16,5.93E-13,8.73E-11,2.96E-12,4.27E-16,5.39E-13,2.23E-14,4.16E-15,1.02E-08,2.22E-16
4.50E-04,101325,2378.556087,1.20E-09,1.11E-04,0.011216229,0.695839799,0.017281694,0.076328815,4.83E-05,1.65E-06,3.14E-12,2.88E-12,2.39E-11,2.03E-12,4.14E-10,1.94E-04,0.01717733,0.181800664,1.71E-08,8.22E-11,6.42E-13,1.90E-14,3.18E-13,2.49E-11,1.81E-08,3.38E-12,4.81E-10,5.64E-13,2.40E-12,6.72E-12,3.30E-11,8.33E-12,4.29E-12,2.74E-13,1.01E-13,4.35E-14,1.77E-16,2.24E-07,7.99E-10,7.55E-14,3.66E-12,4.33E-16,4.50E-12,8.46E-18,2.80E-23,4.51E-16,6.40E-13,6.13E-11,1.99E-12,6.54E-16,8.26E-13,1.60E-14,4.85E-15,1.15E-08,1.11E-16
5.32E-04,101325,2508.301844,1.79E-09,1.55E-04,0.014317743,0.657823939,0.021566722,0.084114026,5.82E-05,1.67E-06,4.69E-12,4.32E-12,3.58E-11,3.04E-12,6.19E-10,2.67E-04,0.023420478,0.198274431,2.53E-08,1.22E-10,9.60E-13,2.79E-14,4.22E-13,3.72E-11,2.71E-08,5.05E-12,7.19E-10,8.14E-13,3.59E-12,1.00E-11,4.89E-11,1.24E-11,6.21E-12,4.00E-13,1.17E-13,4.74E-14,2.52E-16,2.51E-07,7.08E-10,7.39E-14,4.70E-12,6.47E-16,3.15E-12,8.70E-18,4.19E-23,3.83E-16,7.87E-13,4.60E-11,1.36E-12,9.77E-16,1.24E-12,1.25E-14,6.29E-15,1.25E-08,2.22E-16
6.14E-04,101325,2612.221432,2.63E-09,2.10E-04,0.017610699,0.621424874,0.025929621,0.091348809,6.72E-05,1.75E-06,6.89E-12,6.34E-12,5.26E-11,4.47E-12,9.10E-10,3.55E-04,0.030888669,0.212162428,3.64E-08,1.76E-10,1.41E-12,4.06E-14,5.85E-13,5.47E-11,3.99E-08,7.42E-12,1.06E-09,1.18E-12,5.27E-12,1.48E-11,7.16E-11,1.82E-11,8.66E-12,5.66E-13,1.50E-13,5.79E-14,3.47E-16,2.77E-07,6.50E-10,7.45E-14,5.80E-12,9.51E-16,2.29E-12,1.02E-17,6.16E-23,3.73E-16,1.05E-12,3.78E-11,9.44E-13,1.44E-15,1.82E-12,1.10E-14,8.61E-15,1.33E-08,2.22E-16
6.95E-04,101325,2696.50329,3.81E-09,2.76E-04,0.020956226,0.586544244,0.030253974,0.098163384,7.52E-05,1.86E-06,9.99E-12,9.19E-12,7.63E-11,6.48E-12,1.32E-09,4.59E-04,0.039477106,0.223793145,5.10E-08,2.48E-10,2.04E-12,5.86E-14,8.24E-13,7.93E-11,5.78E-08,1.08E-11,1.53E-09,1.69E-12,7.64E-12,2.14E-11,1.04E-10,2.64E-11,1.13E-11,6.42E-13,1.27E-13,5.52E-14,4.61E-16,3.05E-07,6.13E-10,7.61E-14,6.65E-12,1.38E-15,1.77E-12,1.31E-17,8.93E-23,3.74E-16,7.33E-13,2.65E-11,6.66E-13,2.08E-15,2.63E-12,1.09E-14,1.21E-14,1.41E-08,2.22E-16
