x,T,CH4,O2,H2O,CO,CO2,N2
0,300,0,0.230693069,0,0,0,0.769306931
1.67E-05,357.5254356,0,0.223635051,0.003756425,5.58E-26,0.004588282,0.768020242
5.02E-05,469.4644837,0,0.209521082,0.011268146,1.63E-22,0.013763469,0.765447303
8.36E-05,576.567014,0,0.195407091,0.018779727,2.74E-19,0.022938484,0.762874698
1.17E-04,678.4895192,0,0.181291274,0.026291291,3.10E-16,0.032113478,0.760303956
1.51E-04,775.5435069,0,0.167167334,0.033802831,2.60E-13,0.041288463,0.757741372
1.84E-04,868.5281227,0,0.153022014,0.041314208,1.71E-10,0.050463443,0.755200335
2.17E-04,957.9905071,0,0.138837234,0.048824701,4.82E-09,0.059638412,0.752699649
2.51E-04,1044.188241,4.49E-36,0.124595154,0.056332043,6.85E-08,0.068813282,0.750259451
2.84E-04,1127.314915,2.17E-34,0.110282927,0.063831088,5.99E-07,0.077987415,0.74789797
3.18E-04,1207.506683,6.35E-33,0.095896504,0.071312514,3.67E-06,0.087157559,0.745629757
3.51E-04,1284.827264,3.73E-33,0.081445742,0.078761877,1.72E-05,0.096311287,0.743463917
3.85E-04,1359.222407,5.05E-31,0.066965649,0.086158818,6.57E-05,0.105410044,0.741399819
4.18E-04,1430.417421,4.33E-30,0.052541719,0.093475644,2.15E-04,0.114350747,0.739417142
4.52E-04,1497.696006,1.65E-28,0.038363326,0.100673321,6.23E-04,0.122884184,0.737456149
4.85E-04,1559.392281,1.63E-26,0.024834374,0.107688665,0.001653574,0.130439834,0.735383554
5.18E-04,1611.493873,1.38E-25,0.012818802,0.114384731,0.004139362,0.135708883,0.732948222
5.52E-04,1643.397465,2.50E-24,0.004155593,0.120332944,0.010014623,0.135652132,0.729844708
5.85E-04,1638.683687,2.79E-23,7.36E-04,0.124476235,0.021453307,0.12685406,0.726480124
6.19E-04,1609.113536,4.16E-21,1.24E-04,0.12654344,0.035357399,0.11418261,0.723793013
6.52E-04,1573.386166,2.10E-21,2.53E-05,0.127170872,0.048595207,0.102558237,0.721650336
6.86E-04,1536.681943,3.34E-21,6.06E-06,0.126731218,0.060615914,0.092846232,0.719800571
7.19E-04,1500.171201,7.49E-21,1.60E-06,0.125455134,0.071502727,0.084915815,0.718124727
7.53E-04,1464.158381,1.04E-19,4.46E-07,0.12352017,0.081440888,0.078475922,0.716562574
7.86E-04,1428.717661,2.01E-17,1.29E-07,0.121066999,0.090611461,0.073242062,0.715079349
8.19E-04,1393.852735,4.25E-15,3.79E-08,0.118205289,0.099167075,0.068974425,0.713653173
8.53E-04,1359.545747,9.27E-13,1.12E-08,0.115019228,0.107229441,0.065481775,0.712269545
8.86E-04,1325.773709,2.08E-10,3.28E-09,0.111572951,0.114893337,0.062615197,0.710918512
9.20E-04,1292.513924,4.88E-10,9.50E-10,0.107915248,0.122231904,0.060259769,0.709593077
9.53E-04,1259.745524,1.12E-09,2.69E-10,0.104083363,0.129301528,0.058326898,0.708288209
9.87E-04,1227.449617,2.56E-09,1.08E-12,0.100105892,0.136145817,0.056748066,0.707000223
0.001020067,1195.609069,5.79E-09,4.20E-15,0.096004969,0.142798706,0.055469946,0.705726373
0.001053512,1164.208174,1.31E-08,1.59E-17,0.091797898,0.149286827,0.054450689,0.704464573
0.001086957,1133.232388,3.00E-08,7.64E-20,0.087498377,0.155631315,0.05365707,0.703213208
0.001120401,1102.668131,6.92E-08,2.96E-21,0.083117442,0.161849205,0.053062287,0.701970997
0.001153846,1072.502671,1.62E-07,3.74E-22,0.07866422,0.167954533,0.052644197,0.700736888
0.001187291,1042.724106,3.86E-07,3.54E-23,0.074146569,0.173959222,0.05238385,0.699509973
0.001220736,1013.321627,9.44E-07,3.02E-24,0.06957171,0.179873777,0.052264182,0.698289387
0.001254181,984.2865506,2.37E-06,2.27E-25,0.064946975,0.18570772,0.052268759,0.697074176
0.001287625,955.6155897,6.14E-06,1.51E-26,0.060281028,0.191469359,0.052380477,0.695862999
0.00132107,927.3211264,1.65E-05,8.44E-28,0.055586474,0.197163549,0.052580123,0.69465339
0.001354515,899.4632938,4.58E-05,1.65E-29,0.050886729,0.202783047,0.052844787,0.69343959
0.00138796,872.2484254,1.32E-04,2.14E-30,0.046235534,0.208279903,0.053146495,0.692206126
0.001421405,846.2939827,3.83E-04,5.27E-33,0.0417675,0.213485426,0.053453351,0.690910733
0.001454849,823.0299853,0.001047214,1.82E-34,0.037771628,0.217982203,0.053740273,0.689458682
0.001488294,804.2555478,0.002438961,7.33E-32,0.03459999,0.221220002,0.054009488,0.687731559
0.001521739,790.3448284,0.004632208,1.62E-34,0.032326023,0.223054711,0.054284514,0.685702543
0.001555184,780.1479839,0.007439341,4.31E-36,0.030733378,0.223805087,0.054579197,0.683442997
0.001588629,772.3950154,0.010649633,1.84E-33,0.029585057,0.223838479,0.054894426,0.681032405
0.001622074,766.2282989,0.014120679,3.33E-35,0.028722468,0.223405564,0.055226982,0.678524307
0.001655518,761.128247,0.017766085,1.41E-32,0.028050103,0.222659529,0.055573176,0.675951106
0.001688963,756.777606,0.021533124,5.31E-35,0.027509992,0.221694358,0.055929984,0.673332542
0.001722408,752.9751755,0.025388394,1.17E-32,0.027065575,0.220569838,0.056295091,0.670681102
0.001755853,749.5878059,0.029309841,3.27E-33,0.026692796,0.219325583,0.05666676,0.66800502
0.001789298,746.5238641,0.033282307,4.33E-33,0.026375184,0.217988905,0.057043654,0.66530995
0.001822742,743.7180751,0.037295032,8.94E-33,0.026101072,0.216579245,0.057424749,0.662599902
0.001856187,741.1225338,0.041340131,3.07E-33,0.025861942,0.215110885,0.057809231,0.65987781
0.001889632,738.7011722,0.045411688,6.99E-36,0.025651413,0.213594574,0.058196448,0.657145877
0.001923077,736.4262241,0.049505159,4.70E-34,0.025464603,0.21203858,0.05858587,0.654405789
0.001956522,734.2759058,0.05361699,8.26E-34,0.025297698,0.210449386,0.05897706,0.651658866
0.001989967,732.2328277,0.057744351,1.61E-36,0.025147673,0.208832174,0.059369643,0.648906159
0.002023411,730.2829129,0.061884958,0,0.025012091,0.20719113,0.059763307,0.646148514
0.002056856,728.4146074,0.066036942,0,0.024888964,0.205529687,0.060157783,0.643386623
0.002090301,726.6183166,0.070198759,1.61E-35,0.024776651,0.203850692,0.060552839,0.640621057
0.002123746,724.8859986,0.074369113,8.39E-33,0.024673784,0.202156543,0.060948264,0.637852296
0.002157191,723.2108341,0.078546912,3.49E-33,0.02457921,0.200449257,0.061343878,0.635080742
0.002190635,721.5870025,0.082731226,8.69E-36,0.024491952,0.198730569,0.061739515,0.632306739
0.00222408,720.0094985,0.08692126,1.08E-33,0.024411176,0.197001952,0.062135033,0.629530578
0.002257525,718.4739769,0.091116313,5.34E-33,0.024336157,0.19526473,0.062530281,0.626752518
0.00229097,716.9766431,0.095315801,1.00E-35,0.024266277,0.193519988,0.062925159,0.623972775
0.002324415,715.5141721,0.099519182,0,0.024200986,0.191768756,0.06331953,0.621191545
0.00235786,714.083629,0.103726006,0,0.024139813,0.190011881,0.063713305,0.618408995
0.002391304,712.6824026,0.107935856,5.65E-36,0.024082336,0.188250158,0.064106374,0.615625276
0.002424749,711.3081699,0.112148368,3.04E-33,0.024028183,0.186484285,0.064498643,0.612840521
0.002458194,709.9588472,0.116363223,3.04E-33,0.023977028,0.184714867,0.064890035,0.610054848
0.002491639,708.6325681,0.120580123,2.29E-33,0.023928575,0.182942486,0.065280453,0.607268363
0.002525084,707.3276392,0.124798805,7.22E-32,0.023882562,0.181167649,0.065669822,0.604481162
0.002558528,706.0425265,0.129019034,1.32E-34,0.023838753,0.179390818,0.066058064,0.60169333
0.002591973,704.7758424,0.133240593,0,0.023796937,0.177612421,0.066445103,0.598904946
0.002625418,703.5263058,0.13746328,0,0.02375692,0.175832857,0.066830862,0.596116081
