x,T,CH4,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,H2,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,C3H7,C3H8,CH2CHO,CH3CHO,N2,AR
0,300,0,0,0,0.230693069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769306931,0
1.67E-05,382.1791937,0,6.97E-32,2.34E-25,0.223635051,1.90E-19,0.003756425,9.45E-23,9.71E-26,0,0,0,0,0,2.72E-28,5.58E-26,0.004588282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87E-36,1.03E-12,4.02E-09,9.54E-20,4.05E-31,0,0,0,0,0,0,0,0,0,0,0,0,0.768020238,6.22E-13
5.02E-05,542.0921196,0,2.04E-28,6.87E-22,0.209521082,5.58E-16,0.011268146,2.77E-19,2.84E-22,0,0,0,0,0,7.96E-25,1.63E-22,0.013763469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90E-34,2.22E-36,0,0,2.01E-32,3.03E-09,8.34E-08,2.79E-16,1.19E-27,0,0,0,0,0,0,0,0,0,0,0,0,0.765447217,9.56E-13
8.36E-05,695.0957343,0,3.42E-25,1.15E-18,0.195407091,9.35E-13,0.018779727,4.64E-16,4.77E-19,0,0,0,0,0,1.33E-21,2.74E-19,0.022938484,6.11E-34,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21E-31,3.71E-33,0,0,3.37E-29,2.44E-07,3.91E-07,4.68E-13,1.99E-24,0,0,0,0,0,0,0,0,0,0,0,0,0.762874063,5.46E-11
1.17E-04,840.6993131,0,3.87E-22,1.30E-15,0.181291274,1.06E-09,0.026291291,5.24E-13,5.39E-16,0,0,0,0,0,1.51E-18,3.10E-16,0.032113478,6.91E-31,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28E-28,4.20E-30,4.19E-35,0,3.81E-26,3.60E-06,9.78E-07,5.29E-10,2.25E-21,0,0,0,0,0,0,0,2.01E-34,0,0,0,0,0.760299375,3.29E-11
1.51E-04,979.3478671,0,3.23E-19,1.09E-12,0.167167334,3.09E-08,0.033802831,4.40E-10,4.52E-13,0,0,0,0,0,1.26E-15,2.60E-13,0.041288463,5.79E-28,2.40E-34,0,0,0,0,0,0,0,0,0,0,0,0,7.78E-25,3.48E-27,3.51E-32,5.12E-35,3.20E-23,2.19E-05,1.77E-06,2.69E-09,1.89E-18,0,0,0,0,0,0,1.15E-34,1.69E-31,0,0,0,0,0.757717636,7.36E-11
1.84E-04,1112.183032,0,7.22E-17,7.19E-10,0.153022014,3.61E-07,0.041314208,3.19E-09,2.98E-10,0,0,5.15E-36,0,4.73E-36,8.35E-13,1.71E-10,0.050463443,3.82E-25,1.58E-31,0,0,0,0,0,0,0,0,0,0,0,0,5.14E-22,1.74E-24,2.31E-29,3.38E-32,5.85E-21,8.00E-05,2.64E-06,8.67E-09,9.76E-17,0,0,0,0,0,0,7.60E-32,1.10E-28,0,0,0,0,0.755117326,2.25E-11
2.17E-04,1239.986439,0,6.52E-15,1.14E-08,0.138837234,2.34E-06,0.048824701,1.42E-08,1.11E-09,1.48E-36,0,2.06E-34,2.07E-36,8.25E-34,4.51E-10,4.82E-09,0.059638412,1.24E-22,8.11E-29,0,0,0,0,0,0,0,0,0,0,0,0,9.99E-20,3.44E-22,1.20E-26,1.82E-29,3.82E-19,2.11E-04,3.48E-06,2.09E-08,2.55E-15,1.29E-34,4.46E-35,0,0,1.74E-36,0,3.65E-29,4.31E-26,0,0,0,0,0.752483143,4.25E-12
2.51E-04,1363.126059,4.49E-36,1.03E-12,9.94E-08,0.124595154,1.02E-05,0.056332043,4.51E-08,3.10E-09,6.76E-34,0,1.96E-32,1.17E-34,5.10E-32,4.87E-09,6.85E-08,0.068813282,1.63E-20,2.54E-26,1.65E-35,1.03E-36,2.00E-34,0,0,0,0,0,0,0,0,0,7.06E-18,3.25E-20,4.98E-24,8.03E-27,2.87E-17,4.44E-04,4.19E-06,4.14E-08,3.19E-13,5.59E-32,9.27E-33,0,0,7.94E-34,1.12E-35,9.09E-27,6.96E-24,0,0,0,0,0.749801188,4.93E-11
2.84E-04,1481.87845,2.17E-34,3.54E-10,5.62E-07,0.110282927,3.32E-05,0.063831088,1.12E-07,7.08E-09,2.66E-31,1.93E-34,9.33E-35,3.07E-34,1.17E-30,3.42E-08,5.99E-07,0.077987415,1.28E-18,4.53E-24,6.51E-33,2.96E-34,7.87E-32,0,0,0,1.98E-35,0,0,1.61E-36,0,0,2.25E-16,4.37E-18,1.85E-21,3.06E-24,7.96E-15,7.95E-04,4.71E-06,7.07E-08,1.18E-10,1.58E-29,3.51E-30,0,0,3.12E-31,4.41E-33,1.07E-24,4.90E-22,0,0,0,0,0.747063964,1.79E-13
